Year Mnth Day Hr,PRCP(mm/day),SRAD(W/m2),Tmax(C),Tmin(C)
2004 11 15 12,0,360.74,4.28,4.28
2004 11 16 12,0,149.66,6.13,6.13
2004 11 17 12,0,205.4,9.7,9.7
2004 11 18 12,0,248.38,12.83,12.83
2004 11 19 12,0,142.15,12.52,12.52
2004 11 20 12,3.74,296.11,13.41,13.41
2004 11 21 12,1.78,132.15,12.58,12.58
2004 11 22 12,0.26,159.86,12.66,12.66
2004 11 23 12,9.36,145.65,13.85,13.85
2004 11 24 12,47.5,155.78,14.2,14.2
2004 11 25 12,6.34,303.65,7.54,7.54
2004 11 26 12,0.02,325.58,1.44,1.44
2004 11 27 12,6.96,218.92,2.03,2.03
2004 11 28 12,2.93,324.28,6.23,6.23
2004 11 29 12,0,282.2,6.24,6.24
2004 11 30 12,0.13,234.26,7.82,7.82
2004 12 01 12,25.12,338.37,9.54,9.54
2004 12 02 12,0,335.11,4.4,4.4
2004 12 03 12,0,334.4,3.23,3.23
2004 12 04 12,0,331.48,3.17,3.17
2004 12 05 12,0,328.41,5.11,5.11
2004 12 06 12,35.19,100.88,8.71,8.71
2004 12 07 12,16.21,207.02,13.13,13.13
2004 12 08 12,0.05,325.56,11.39,11.39
2004 12 09 12,37.22,139.58,11.48,11.48
2004 12 10 12,5.18,244.81,11.99,11.99
2004 12 11 12,0.56,226.83,4.4,4.4
2004 12 12 12,0.02,263.71,2.15,2.15
2004 12 13 12,0,319.95,2.91,2.91
2004 12 14 12,0,304.56,-3.54,-3.54
2004 12 15 12,0,328.2,-3.69,-3.69
2004 12 16 12,0,331.42,-0.28,-0.28
2004 12 17 12,0,265.81,1.56,1.56
2004 12 18 12,0,321.08,2.17,2.17
2004 12 19 12,0.04,172.08,0.62,0.62
2004 12 20 12,0,322.72,-7.37,-7.37
2004 12 21 12,0,221.34,-0.51,-0.51
2004 12 22 12,0.48,237.95,4.52,4.52
2004 12 23 12,64.93,280.18,8.15,8.15
2004 12 24 12,0,295.68,-0.25,-0.25
2004 12 25 12,0,303.92,-1.06,-1.06
2004 12 26 12,0,320.81,-0.54,-0.54
2004 12 27 12,0,327.47,-0.66,-0.66
2004 12 28 12,0,316.75,0,0
2004 12 29 12,0.01,316.75,2.99,2.99
2004 12 30 12,0,271.63,7.15,7.15
2004 12 31 12,0,245.79,9.41,9.41
2005 01 01 12,0,300.28,11.26,11.26
2005 01 02 12,0,206.63,11.21,11.21
2005 01 03 12,0,208.97,12.39,12.39
2005 01 04 12,0,219.68,13.81,13.81
2005 01 05 12,0,308.22,12.9,12.9
2005 01 06 12,2.63,99.09,12.76,12.76
2005 01 07 12,0.17,144.64,8.56,8.56
2005 01 08 12,9.53,304.76,12.4,12.4
2005 01 09 12,0.03,319.99,8.73,8.73
2005 01 10 12,0,322.55,9.04,9.04
2005 01 11 12,0,254.96,10.52,10.52
2005 01 12 12,0.05,298.6,13.01,13.01
2005 01 13 12,13.46,186,14.05,14.05
2005 01 14 12,29.89,332.96,9.13,9.13
2005 01 15 12,0,270.49,1.93,1.93
2005 01 16 12,0,332.52,1.73,1.73
2005 01 17 12,0,349.31,-5.13,-5.13
2005 01 18 12,0,352.73,-6.76,-6.76
2005 01 19 12,0,176.23,-4.86,-4.86
2005 01 20 12,0,290.21,0.52,0.52
2005 01 21 12,0.01,307.76,5.32,5.32
2005 01 22 12,0.4,156.16,3.35,3.35
2005 01 23 12,0,363.97,-6.37,-6.37
2005 01 24 12,0,300.98,-4.57,-4.57
2005 01 25 12,0,348.32,1.45,1.45
2005 01 26 12,0.18,240.27,6.1,6.1
2005 01 27 12,0,347.06,3.13,3.13
2005 01 28 12,0,233.05,-1.87,-1.87
2005 01 29 12,19.19,95,-3.25,-3.25
2005 01 30 12,6.58,347.77,0.58,0.58
2005 01 31 12,0.09,277.88,0.28,0.28
2005 02 01 12,0.31,241.53,1.04,1.04
2005 02 02 12,8.4,108.98,0.27,0.27
2005 02 03 12,16.17,284.27,1.09,1.09
2005 02 04 12,0,385.23,1.44,1.44
2005 02 05 12,0,382.02,3.17,3.17
2005 02 06 12,0,333.5,4.52,4.52
2005 02 07 12,0,243.6,5.43,5.43
2005 02 08 12,0.06,136.6,8.5,8.5
2005 02 09 12,0.46,244.57,10.85,10.85
2005 02 10 12,0.5,340.4,3.71,3.71
2005 02 11 12,0.03,405.1,-1.5,-1.5
2005 02 12 12,0,395.11,2.57,2.57
2005 02 13 12,3.17,112.09,4.55,4.55
2005 02 14 12,14.99,139.28,7.36,7.36
2005 02 15 12,0.01,347.66,10.28,10.28
2005 02 16 12,0.86,336.46,12.19,12.19
2005 02 17 12,0,374.91,4.83,4.83
2005 02 18 12,0,416.33,-0.4,-0.4
2005 02 19 12,0,293.38,1.93,1.93
2005 02 20 12,9.3,125.76,4.18,4.18
2005 02 21 12,43.77,165.03,7.85,7.85
2005 02 22 12,0.92,422.44,11.44,11.44
2005 02 23 12,0.02,424.56,9.72,9.72
2005 02 24 12,11.73,204.87,8.52,8.52
2005 02 25 12,0,440.88,4.26,4.26
2005 02 26 12,0,424.57,4.84,4.84
2005 02 27 12,0.17,258.87,4.25,4.25
2005 02 28 12,22.62,132.14,2.66,2.66
2005 03 01 12,0.41,308.7,-1.17,-1.17
2005 03 02 12,0,470.56,-3.29,-3.29
2005 03 03 12,0,457.55,0.09,0.09
2005 03 04 12,0,446.68,2.68,2.68
2005 03 05 12,1.48,373.28,6.71,6.71
2005 03 06 12,0,468.38,4.76,4.76
2005 03 07 12,2.93,263.6,6.36,6.36
2005 03 08 12,18.32,382.76,5.29,5.29
2005 03 09 12,0,400.96,-0.29,-0.29
2005 03 10 12,0,447.07,1.67,1.67
2005 03 11 12,0.13,370.71,3.92,3.92
2005 03 12 12,0.21,476.6,4.88,4.88
2005 03 13 12,0,473.61,11.49,11.49
2005 03 14 12,5.02,326.46,10.71,10.71
2005 03 15 12,0.75,266.63,4.73,4.73
2005 03 16 12,13.83,136.43,5.11,5.11
2005 03 17 12,5.36,152.3,1.99,1.99
2005 03 18 12,0,488.87,2.27,2.27
2005 03 19 12,0,289.38,4.98,4.98
2005 03 20 12,0,499.06,7.31,7.31
2005 03 21 12,0,251.98,8.33,8.33
2005 03 22 12,18.34,220.61,8.73,8.73
2005 03 23 12,20.57,387.72,12.07,12.07
2005 03 24 12,0,504.2,9.15,9.15
2005 03 25 12,0,465.51,12.06,12.06
2005 03 26 12,0,376.11,13.5,13.5
2005 03 27 12,13.47,265.17,14.18,14.18
2005 03 28 12,42.99,165.13,9.33,9.33
2005 03 29 12,0.08,515.2,9.77,9.77
2005 03 30 12,0,504.49,13.19,13.19
2005 03 31 12,25.01,264.11,13.33,13.33
2005 04 01 12,1.14,287.67,13.57,13.57
2005 04 02 12,23.37,215.83,7.52,7.52
2005 04 03 12,1.87,531,5.37,5.37
2005 04 04 12,0,513.14,10.72,10.72
2005 04 05 12,0,427.49,13.78,13.78
2005 04 06 12,0,496.39,14.87,14.87
2005 04 07 12,9.48,331.12,14.26,14.26
2005 04 08 12,26.89,312.71,12.9,12.9
2005 04 09 12,0.44,466.6,12.84,12.84
2005 04 10 12,0,526.79,13.5,13.5
2005 04 11 12,0,449.17,16.12,16.12
2005 04 12 12,6.33,227.71,14.01,14.01
2005 04 13 12,20.46,391.99,12.07,12.07
2005 04 14 12,3.08,517.87,9.19,9.19
2005 04 15 12,0,546.18,9.4,9.4
2005 04 16 12,0,553.66,7.57,7.57
2005 04 17 12,0,529.24,10.2,10.2
2005 04 18 12,0,538.75,13.86,13.86
2005 04 19 12,0,528.18,15.15,15.15
2005 04 20 12,0,525.42,15.5,15.5
2005 04 21 12,2.15,503.35,15.25,15.25
2005 04 22 12,19.69,378.18,15.77,15.77
2005 04 23 12,7.47,396.7,11.52,11.52
2005 04 24 12,0.38,393.25,2.2,2.2
2005 04 25 12,0,545.84,5.33,5.33
2005 04 26 12,6.56,228.55,6.99,6.99
2005 04 27 12,1.58,363.34,9.19,9.19
2005 04 28 12,0.75,399.68,7.61,7.61
2005 04 29 12,0.05,464.12,13.51,13.51
2005 04 30 12,21.56,375.83,15.84,15.84
2005 05 01 12,0.28,588.19,11.72,11.72
2005 05 02 12,0,474.62,9.96,9.96
2005 05 03 12,0,523.22,8.76,8.76
2005 05 04 12,0,488.38,10.96,10.96
2005 05 05 12,0.29,144.76,10.37,10.37
2005 05 06 12,0.01,521.74,11.48,11.48
2005 05 07 12,0,586.64,14.04,14.04
2005 05 08 12,0,583.06,15.84,15.84
2005 05 09 12,0,578.33,18.43,18.43
2005 05 10 12,9.65,403.3,17.53,17.53
2005 05 11 12,0.01,534.53,17.53,17.53
2005 05 12 12,0.11,575.15,20.31,20.31
2005 05 13 12,2.14,495.06,20.58,20.58
2005 05 14 12,2.91,461.14,19.51,19.51
2005 05 15 12,11.78,386.53,17.55,17.55
2005 05 16 12,0,549.96,15.26,15.26
2005 05 17 12,0,544.15,16.58,16.58
2005 05 18 12,0,454.01,17.68,17.68
2005 05 19 12,2.45,481.55,18.86,18.86
2005 05 20 12,48.15,354.16,19.15,19.15
2005 05 21 12,0.13,559.26,16.26,16.26
2005 05 22 12,0,483.52,17.76,17.76
2005 05 23 12,0,576.01,19.62,19.62
2005 05 24 12,0,533.87,16.42,16.42
2005 05 25 12,0,484.05,11.3,11.3
2005 05 26 12,0,588.19,14.07,14.07
2005 05 27 12,0,563.81,16.51,16.51
2005 05 28 12,0.56,458.4,16.87,16.87
2005 05 29 12,0.4,409.66,17.26,17.26
2005 05 30 12,4.03,267.91,15.06,15.06
2005 05 31 12,0,455.39,17.37,17.37
2005 06 01 12,28.63,155.78,15.82,15.82
2005 06 02 12,36.69,426.72,17.08,17.08
2005 06 03 12,8.26,370.25,17.32,17.32
2005 06 04 12,0.21,493.48,20.34,20.34
2005 06 05 12,10.51,448.5,22.52,22.52
2005 06 06 12,4.86,358.38,23.48,23.48
2005 06 07 12,25.25,456.75,22.98,22.98
2005 06 08 12,23.22,402.59,22.48,22.48
2005 06 09 12,28.24,398.32,21.51,21.51
2005 06 10 12,16.41,323.89,20.88,20.88
2005 06 11 12,11.73,241.99,19.44,19.44
2005 06 12 12,85.21,245.24,18.73,18.73
2005 06 13 12,18.77,503.87,20.82,20.82
2005 06 14 12,0.01,524.75,24.17,24.17
2005 06 15 12,0,562.59,23.62,23.62
2005 06 16 12,0,565.53,20.92,20.92
2005 06 17 12,0,560.65,18.61,18.61
2005 06 18 12,14.09,453.97,18.59,18.59
2005 06 19 12,2.53,463.65,18.65,18.65
2005 06 20 12,10.23,372.32,17.38,17.38
2005 06 21 12,2.66,484.35,17.62,17.62
2005 06 22 12,0.01,558.2,19.74,19.74
2005 06 23 12,0,552.44,21.38,21.38
2005 06 24 12,0,503.77,21.87,21.87
2005 06 25 12,0.03,517.73,21.67,21.67
2005 06 26 12,4.04,335.58,19.62,19.62
2005 06 27 12,23.48,430.85,21.16,21.16
2005 06 28 12,18.4,410.81,22.25,22.25
2005 06 29 12,6.74,413.35,21.81,21.81
2005 06 30 12,6.73,438.52,23.01,23.01
2005 07 01 12,12.59,462.02,24.15,24.15
2005 07 02 12,3.76,481.45,24.08,24.08
2005 07 03 12,16.1,320.33,23.17,23.17
2005 07 04 12,6.51,379.36,21.95,21.95
2005 07 05 12,8.26,512.29,23.09,23.09
2005 07 06 12,1.29,372.8,22.59,22.59
2005 07 07 12,75.45,209.62,19.89,19.89
2005 07 08 12,0.12,564.28,20.27,20.27
2005 07 09 12,0.21,471.75,22.72,22.72
2005 07 10 12,10.31,429.53,22.85,22.85
2005 07 11 12,56.27,198.38,20.5,20.5
2005 07 12 12,29.77,428.22,21.58,21.58
2005 07 13 12,7.67,380.67,22.41,22.41
2005 07 14 12,4.05,379.54,21.82,21.82
2005 07 15 12,14.79,447.59,22.11,22.11
2005 07 16 12,3.18,350.8,21.86,21.86
2005 07 17 12,4.62,510.28,23.07,23.07
2005 07 18 12,1.73,478.66,23.64,23.64
2005 07 19 12,4.2,472.44,23.77,23.77
2005 07 20 12,16.93,442.06,23.89,23.89
2005 07 21 12,5.4,445.39,24.26,24.26
2005 07 22 12,3.7,528.5,24.55,24.55
2005 07 23 12,1.31,566.63,24.49,24.49
2005 07 24 12,0,546.71,24.45,24.45
2005 07 25 12,0,543.96,25.25,25.25
2005 07 26 12,0.24,560.81,26.53,26.53
2005 07 27 12,0,525.83,26.61,26.61
2005 07 28 12,2.12,455.39,25.72,25.72
2005 07 29 12,68.57,230.2,23.66,23.66
2005 07 30 12,0.92,434.02,21.7,21.7
2005 07 31 12,4.2,443.77,21.23,21.23
2005 08 01 12,6.24,472.5,20.77,20.77
2005 08 02 12,0.06,530.4,22.12,22.12
2005 08 03 12,0.02,561.15,23.77,23.77
2005 08 04 12,5.02,529.15,24.51,24.51
2005 08 05 12,1.29,521.94,24.54,24.54
2005 08 06 12,3.53,386.61,23.1,23.1
2005 08 07 12,46.99,195.78,19.17,19.17
2005 08 08 12,12.73,193.75,18.94,18.94
2005 08 09 12,0.94,426.04,20.6,20.6
2005 08 10 12,10.8,448.57,22.37,22.37
2005 08 11 12,0.18,531.88,23.5,23.5
2005 08 12 12,5.03,458.22,23.98,23.98
2005 08 13 12,10.42,402.58,23.78,23.78
2005 08 14 12,6.82,473.37,23.26,23.26
2005 08 15 12,2.57,481.23,24.89,24.89
2005 08 16 12,3.89,428.15,25.04,25.04
2005 08 17 12,8.25,441.32,23.39,23.39
2005 08 18 12,9.53,411.41,23.36,23.36
2005 08 19 12,23.46,381.27,23.44,23.44
2005 08 20 12,0.02,531.98,24.93,24.93
2005 08 21 12,2.3,485.16,25.69,25.69
2005 08 22 12,10.97,427.32,24.56,24.56
2005 08 23 12,24.32,381.27,23.75,23.75
2005 08 24 12,0.56,372.29,23.08,23.08
2005 08 25 12,0.6,348.27,21.86,21.86
2005 08 26 12,0,536.92,21,21
2005 08 27 12,0.02,410.45,21.11,21.11
2005 08 28 12,1.04,435.26,22.16,22.16
2005 08 29 12,0.06,425.87,22.82,22.82
2005 08 30 12,57.96,208.44,19.25,19.25
2005 08 31 12,0,540.13,21.47,21.47
2005 09 01 12,0,514.43,21.08,21.08
2005 09 02 12,0,507.14,21.1,21.1
2005 09 03 12,0,516.01,20.6,20.6
2005 09 04 12,0,511.14,18.61,18.61
2005 09 05 12,0,505.46,19.2,19.2
2005 09 06 12,0,511.22,17.82,17.82
2005 09 07 12,0,509.63,18.02,18.02
2005 09 08 12,0,500.23,18.88,18.88
2005 09 09 12,0,508.96,19.19,19.19
2005 09 10 12,0,509.03,19.05,19.05
2005 09 11 12,0,500.45,19.36,19.36
2005 09 12 12,0,513.65,18.6,18.6
2005 09 13 12,0,503.63,19.27,19.27
2005 09 14 12,0,493.63,21.11,21.11
2005 09 15 12,0,487.46,21.78,21.78
2005 09 16 12,5.96,336.08,22.24,22.24
2005 09 17 12,0,491.66,21.25,21.25
2005 09 18 12,0,492.4,21.55,21.55
2005 09 19 12,0,485.33,21.22,21.22
2005 09 20 12,0,463.82,22.62,22.62
2005 09 21 12,0,465.06,23.13,23.13
2005 09 22 12,0,414.84,22.3,22.3
2005 09 23 12,0,482.7,21.89,21.89
2005 09 24 12,0,415.84,21.74,21.74
2005 09 25 12,0,357.98,21.26,21.26
2005 09 26 12,8.59,129.86,19.69,19.69
2005 09 27 12,0.13,471.54,19.27,19.27
2005 09 28 12,2.68,309.31,19.48,19.48
2005 09 29 12,5.29,301.99,17.71,17.71
2005 09 30 12,0.11,380.57,16.41,16.41
