Year Mnth Day Hr,PRCP(mm/day)_nldas,PRCP(mm/day)_maurer,prcp(mm/day)_daymet,srad(W/m2)_daymet,tmax(C)_daymet,tmin(C)_daymet,vp(Pa)_daymet
2000 07 09 12,0,0,0,459.85,35.87,20.95,2015.61
2000 07 10 12,2.44,1.11,0,436.45,35.68,21.84,2184.66
2000 07 11 12,9.73,8.5,3.66,314.38,36.59,22.84,2653.04
2000 07 12 12,9.5,23.21,12.71,322,36,21.99,2526.06
2000 07 13 12,16.5,12.27,24.65,311.88,34.74,21.5,2544.36
2000 07 14 12,8.32,8.36,0,384.78,33.69,21.98,2578.9
2000 07 15 12,1.99,2.18,0.2,437.96,35.5,21.5,2328.28
2000 07 16 12,0,0,0,471.12,36.5,20.89,2168.95
2000 07 17 12,0,0,0,483.74,36.16,20,2036.03
2000 07 18 12,0,0,0,505.68,36.49,19,1878.28
2000 07 19 12,0,0,0,490.92,37.5,20.35,2060.69
2000 07 20 12,0.37,1.43,0,442.62,38.09,23.03,2529.85
2000 07 21 12,5.73,0.5,7.72,393.08,38.5,21.17,2367.27
2000 07 22 12,1.73,5.99,0,433.55,35.5,21.3,2354.71
2000 07 23 12,7.75,6.07,8,339.14,36,20.5,2399.33
2000 07 24 12,9.95,14.25,20.55,308.53,33.5,20.41,2385.1
2000 07 25 12,0.52,4.3,0,347.64,29.55,19.5,2280
2000 07 26 12,0.45,0.07,0,344.56,29.93,20.01,2321.34
2000 07 27 12,0,0.02,0,363.53,30.49,19.9,2311.44
2000 07 28 12,1.36,12.12,0,415.59,33.41,20.47,2332.05
2000 07 29 12,15.51,4.04,17.92,329.6,33,19,2200
2000 07 30 12,0.53,0.08,0,441.4,33.42,19.24,2186.15
2000 07 31 12,6.26,7.09,0,420.65,34.03,20.49,2383.31
2000 08 01 12,6.67,4.46,13.35,288.4,33,21.06,2489.6
2000 08 02 12,4.49,3.96,10.02,277.32,32,20.8,2447.2
2000 08 03 12,5.45,7.01,6.51,259.56,31.2,20.99,2479.08
2000 08 04 12,6.13,3.53,10.07,256.27,31.5,21.44,2550.61
2000 08 05 12,6.44,0.52,0,373.74,31.51,20.41,2385.85
2000 08 06 12,0.02,0,0,405.63,34.03,21.26,2521.69
2000 08 07 12,0,0.01,0,395.84,34.49,22.01,2642.26
2000 08 08 12,0,0,0,398.27,34.53,22,2640
2000 08 09 12,0.42,0.8,0,401.16,35.5,22.62,2738.53
2000 08 10 12,3.65,0.72,3.03,333.71,36.56,21.5,2560
2000 08 11 12,0.01,0.16,0,398.47,34.5,21.92,2626.8
2000 08 12 12,1.36,0,0,432.77,32.97,19.31,2248.93
2000 08 13 12,0,0,0,431.43,32.63,19.03,2205.11
2000 08 14 12,0,0,0,482.57,33.4,17,1920
2000 08 15 12,0,0,0,480.83,34.35,17.71,2033.85
2000 08 16 12,0,0,0,482.91,35.79,18.45,2113.64
2000 08 17 12,0,0,0,469.44,37,20,2320
2000 08 18 12,1.36,0,0,446.96,39,22.5,2719.29
2000 08 19 12,0.48,7.08,0,424.15,38.07,23,2800
2000 08 20 12,0.11,3.34,0,415.13,35.91,21.95,2632.52
2000 08 21 12,14.2,12.56,2.96,303.22,33,21.49,2559.08
2000 08 22 12,0,4.66,18.04,221.99,26.5,18.49,2120.92
2000 08 23 12,0,0.19,0,409.06,31.34,18.88,2181.05
2000 08 24 12,0,0.66,0,419.72,33.53,20.01,2322.32
2000 08 25 12,0.73,0.23,0,428.08,35,20.56,2409.6
2000 08 26 12,0,0,0,443.81,34.79,19.48,2276.08
2000 08 27 12,14.69,3.66,0,439.81,34.99,19.72,2297.44
2000 08 28 12,0,3.65,12.45,313.56,33.36,19.52,2281.33
2000 08 29 12,2.51,0.81,0,406.07,34,20.5,2399.29
2000 08 30 12,0,1.63,0,396.67,32.39,19.62,2289.6
2000 08 31 12,12.97,4.22,6.55,234.06,29.54,20.32,2370.83
2000 09 01 12,15.79,7.36,8.94,183.71,28.01,21.03,2485.51
2000 09 02 12,7.4,14.25,17.77,220.47,30.48,21.73,2596.49
2000 09 03 12,21.47,18.75,21.25,226.66,30.5,21.49,2559.08
2000 09 04 12,1.06,6.58,8.83,221.39,30.58,21.77,2603.8
2000 09 05 12,4.75,4.78,0,325.34,30.83,21.05,2487.56
2000 09 06 12,21.97,10.5,11.98,219.43,25.94,17.86,2057.05
2000 09 07 12,0.31,6.58,14.17,90.2,19.82,16.96,1917.17
2000 09 08 12,0.1,4.15,2.7,150.69,22.47,17.9,2063.99
2000 09 09 12,5.49,4.01,7.72,218.03,27.96,20.06,2329.6
2000 09 10 12,0,1.01,0,380.48,29.98,18.83,2173.17
2000 09 11 12,0,0,0,400.93,30.96,18.77,2162.89
2000 09 12 12,0,0,0,428.29,31,17.5,1999.48
2000 09 13 12,0,0,0,432.95,31.35,17.5,2000
2000 09 14 12,0,0,0,421.43,32,18.55,2128.22
2000 09 15 12,0,0,0,416.82,32.97,19.5,2280
2000 09 16 12,0.2,0,0,484.66,31.27,13.91,1592.44
2000 09 17 12,0.04,0.6,0,439.77,26.5,13.27,1523.31
2000 09 18 12,8.48,4.45,3.08,224.97,21.99,14.53,1645.9
2000 09 19 12,0,2.37,7.54,275.42,23.5,13.83,1586.77
2000 09 20 12,1.1,0.59,0,453.51,30.61,15.46,1757.01
2000 09 21 12,0.95,2.1,6.41,297.93,31.5,19,2200.26
2000 09 22 12,42.65,28.32,12.59,227.46,29.5,20.96,2472.99
2000 09 23 12,3.11,16.64,39.88,191.7,27.55,20.74,2438.25
2000 09 24 12,3.94,3.03,6.12,248.29,30.14,20.71,2433.35
2000 09 25 12,3.58,3.97,0,359.95,31.87,21.06,2490.09
2000 09 26 12,2.02,2.21,7,364.84,32,12.47,1437.73
2000 09 27 12,0,0.32,0,399.93,22,11.01,1320.93
2000 09 28 12,0,0,0,448.26,23.79,9.93,1234.63
2000 09 29 12,0,0,0,443.44,25,10.99,1319.4
2000 09 30 12,0,0,0,424.06,25.92,12.63,1450.07
